Reservoir,Site,Position,Offset_start,Offset_end,Offset,Distance_above_sediments
BVR,50,1,2020-06-01 00:00:00, 2021-04-05 13:40:00,11.82,12.5
BVR,50,2,2020-06-01 00:00:00, 2021-04-05 13:40:00,11.478,11.5
BVR,50,3,2020-06-01 00:00:00, 2021-04-05 13:40:00,10.44,10.5
BVR,50,4,2020-06-01 00:00:00, 2021-04-05 13:40:00,9.402,9.5
BVR,50,5,2020-06-01 00:00:00, 2021-04-05 13:40:00,8.364,8.5
BVR,50,6,2020-06-01 00:00:00, 2021-04-05 13:40:00,7.326,7.5
BVR,50,7,2020-06-01 00:00:00, 2021-04-05 13:40:00,6.288,6.5
BVR,50,8,2020-06-01 00:00:00, 2021-04-05 13:40:00,5.25,5.5
BVR,50,9,2020-06-01 00:00:00, 2021-04-05 13:40:00,4.212,4.5
BVR,50,10,2020-06-01 00:00:00, 2021-04-05 13:40:00,3.174,3.5
BVR,50,11,2020-06-01 00:00:00, 2021-04-05 13:40:00,2.136,2.5
BVR,50,12,2020-06-01 00:00:00, 2021-04-05 13:40:00,1.098,1.5
BVR,50,13,2020-06-01 00:00:00, 2021-04-05 13:40:00,0.06,0.5
BVR,50,1,2021-04-05 13:50:00,current,12.82,12.5
BVR,50,2,2021-04-05 13:50:00,current,11.478,11.5
BVR,50,3,2021-04-05 13:50:00,current,10.47,10.5
BVR,50,4,2021-04-05 13:50:00,current,9.423,9.5
BVR,50,5,2021-04-05 13:50:00,current,8.376,8.5
BVR,50,6,2021-04-05 13:50:00,current,7.329,7.5
BVR,50,7,2021-04-05 13:50:00,current,6.282,6.5
BVR,50,8,2021-04-05 13:50:00,current,5.235,5.5
BVR,50,9,2021-04-05 13:50:00,current,4.188,4.5
BVR,50,10,2021-04-05 13:50:00,current,3.141,3.5
BVR,50,11,2021-04-05 13:50:00,current,2.094,2.5
BVR,50,12,2021-04-05 13:50:00,current,1.047,1.5
BVR,50,13,2021-04-05 13:50:00,current,0,0.5
